iter	Logloss
0	0.6707245813
1	0.6509573082
2	0.6338653984
3	0.6193040701
4	0.6073204082
5	0.5963307834
6	0.5867045476
7	0.5793004148
8	0.5719123433
9	0.5653754224
10	0.5593442303
11	0.5535609337
12	0.5487012549
13	0.5444484842
14	0.5410118163
15	0.5379020775
16	0.5350273737
17	0.531999585
18	0.5303500249
19	0.528305967
20	0.5261813303
21	0.5247298799
22	0.5232839554
23	0.5215608306
24	0.520367799
25	0.5193076545
26	0.5181486154
27	0.5166794614
28	0.5159088207
29	0.5148683261
30	0.5141240065
31	0.5129741806
32	0.5123814099
33	0.5118445078
34	0.5112703419
35	0.5105509436
36	0.5100237339
37	0.5094777546
38	0.5089842034
39	0.508092985
40	0.5074312189
41	0.5068288605
42	0.5063727677
43	0.5057080013
44	0.5053399983
45	0.5050413455
46	0.5046809584
47	0.5043025698
48	0.503867347
49	0.5032765959
50	0.5028137734
51	0.5024777866
52	0.5019700351
53	0.5016878314
54	0.5013798395
55	0.5005677386
56	0.5001844334
57	0.5000941757
58	0.4996652483
59	0.4992852009
60	0.4989566848
61	0.4985616585
62	0.4982845779
63	0.4980048744
64	0.4976563282
65	0.4972997243
66	0.4967197301
67	0.4964251166
68	0.4961553376
69	0.4955226428
70	0.4953125036
71	0.4947350006
72	0.4944310226
73	0.4941641674
74	0.4939989482
75	0.4935518441
76	0.4933313912
77	0.493089619
78	0.4925979572
79	0.4923634746
80	0.4922051347
81	0.4918980576
82	0.4916962978
83	0.4911517244
84	0.4909023243
85	0.4905805423
86	0.4902770358
87	0.490034593
88	0.4896069711
89	0.4892185576
90	0.4889684345
91	0.4886822049
92	0.4884741497
93	0.4882217225
94	0.4878591211
95	0.4876020183
96	0.487376773
97	0.4872407254
98	0.4870069135
99	0.4867718965
100	0.4864289405
101	0.4861761345
102	0.4857253714
103	0.4853956636
104	0.4850822895
105	0.48479235
106	0.4846103599
107	0.4843574925
108	0.4839848933
109	0.4837585476
110	0.4833579251
111	0.4830156458
112	0.4826955915
113	0.4824202806
114	0.4821388358
115	0.4818417416
116	0.4816230642
117	0.4812881988
118	0.4809803446
119	0.4807900649
120	0.4805285051
121	0.4801672152
122	0.4798805126
123	0.479605299
124	0.4793382687
125	0.4790720184
126	0.478760893
127	0.478391574
128	0.4780478859
129	0.4777914434
130	0.4774142779
131	0.4771384325
132	0.4769032866
133	0.4767178965
134	0.4764976606
135	0.4762138474
136	0.4759279068
137	0.4756267134
138	0.4753534131
139	0.4750921932
140	0.4748109252
141	0.4745082196
142	0.4742953631
143	0.4740429853
144	0.4737329423
145	0.473536183
146	0.4732440457
147	0.4730023559
148	0.4728074321
149	0.4725452794
150	0.4723479512
151	0.472055004
152	0.4717407795
153	0.4715654562
154	0.4713604626
155	0.4711272076
156	0.4708864476
157	0.4707249577
158	0.4705353143
159	0.4703314435
160	0.4701306225
161	0.4699178962
162	0.4697086553
163	0.4694949469
164	0.4692997236
165	0.4690389214
166	0.4688330685
167	0.468585995
168	0.4683890066
169	0.4681480848
170	0.4679877507
171	0.4678263597
172	0.4676515843
173	0.467503362
174	0.4673154642
