Model,Run_ID,Artifact_Path,Best_CV_ROC_AUC,Train_Accuracy,Train_F1,Train_Precision,Train_Recall,Train_ROC_AUC,Test_Accuracy,Test_F1,Test_Precision,Test_Recall,Test_ROC_AUC,Overfitting
CatBoost,ab2725b0bff44905a0b096b68b3698df,CatBoost_pipeline,0.7803336652271312,0.7498037676609105,0.6397287369313366,0.6130517194692662,0.6688330871491875,0.8115754071043819,0.7325353218210361,0.6142088876309085,0.5893536121673004,0.6412529550827423,0.7828533320554597,0.028722075048922213
XGBoost,859a670e284341f6869861db66c622fb,XGBoost_pipeline,0.7774410132040614,0.7338108320251178,0.6236648633652379,0.5878661087866108,0.6641063515509601,0.790581704167163,0.7268445839874411,0.6135480288728484,0.5785340314136126,0.6530732860520094,0.7782661824636848,0.01231552170347816
Gradient Boosting,70b6d2669f5046ea867277e298a5fdb5,Gradient_Boosting_pipeline,0.7781084910448021,0.7364599686028257,0.6266851980542043,0.591732283464567,0.66602658788774,0.8006052885866253,0.7199764521193093,0.6052558782849239,0.5689027561102444,0.6465721040189125,0.7759117524092084,0.024693536177416875
Random Forest,7ac9eb3871e341a1b261d0ec349f2c8c,Random_Forest_pipeline,0.7741223106841842,0.8425235478806907,0.7723081288125976,0.7429039301310044,0.8041358936484491,0.9286440515769349,0.7282182103610675,0.6073149985823646,0.5836512261580381,0.6329787234042553,0.7728057034833169,0.15583834809361796
AdaBoost,b57edb53708748c5b5ba682fc029f188,AdaBoost_pipeline,0.7687120794801826,0.7131083202511774,0.6028792611707184,0.5579436902966315,0.6556868537666174,0.7703109081167857,0.7146781789638933,0.6051059206952744,0.5597989949748744,0.6583924349881797,0.7688273669136296,0.0014835412031560802
Decision Tree,3693a9b6a8ab40d68c5f6a46c3edbc89,Decision_Tree_pipeline,0.7254300387263339,0.7509811616954474,0.6338718984420081,0.6193966732449958,0.6490398818316101,0.8030830034422382,0.7103610675039247,0.5763490241102182,0.5602678571428571,0.5933806146572104,0.7339025253282885,0.06918047811394967
K-Neighbors Classifier,0909d4f83ca64eaabab4809f95a29687,K-Neighbors_Classifier_pipeline,0.7190286268143016,0.7724686028257457,0.7042469072822344,0.6196140035906643,0.8156573116691285,0.8736087557794684,0.6701334379905809,0.5664173329894248,0.5025171624713959,0.648936170212766,0.7174082327007859,0.15620052307868248
Logistic Regression,defdcb6230414864b5b3d7e6932167fb,Logistic_Regression_pipeline,0.7066341895362168,0.6650313971742543,0.5614080164439876,0.49670379631734485,0.6454948301329394,0.7092759994436174,0.6634615384615384,0.5548922917207371,0.4946783896344285,0.6317966903073287,0.7046255899748036,0.004650409468813788
Support Vector Classifier,88ca4aa8bdb84d54a8f128d712505a06,Support_Vector_Classifier_pipeline,0.7043949309865914,0.6684654631083202,0.5643934510764471,0.5006861848124429,0.6466765140324963,0.7063305998104739,0.6634615384615384,0.5544297220057157,0.4946685210941122,0.6306146572104019,0.7028301428162669,0.0035004569942069796
