Model,Run_ID,Best_CV_ROC_AUC,Train_Accuracy,Train_F1,Train_Precision,Train_Recall,Train_ROC_AUC,Test_Accuracy,Test_F1,Test_Precision,Test_Recall,Test_ROC_AUC,Overfitting
CatBoost,6e52a9a1af664d0e8fd173a39c6cb051,0.7803336652271312,0.7498037676609105,0.6397287369313366,0.6130517194692662,0.6688330871491875,0.8115754071043819,0.7325353218210361,0.6142088876309085,0.5893536121673004,0.6412529550827423,0.7828533320554597,0.028722075048922213
XGBoost,25a7adeec35445118a4e5b6fab064577,0.7774410132040614,0.7338108320251178,0.6236648633652379,0.5878661087866108,0.6641063515509601,0.790581704167163,0.7268445839874411,0.6135480288728484,0.5785340314136126,0.6530732860520094,0.7782661824636848,0.01231552170347816
Gradient Boosting,14c3a8dbc4d449328371bdb7116e2acb,0.7781084910448021,0.7366071428571429,0.6262963736340225,0.5922074503093326,0.664549483013294,0.7996762824957105,0.7203689167974883,0.6049348489049071,0.5697127937336814,0.6447990543735225,0.7748170522511411,0.024859230244569486
Random Forest,61ddaffce99e4f3a8a13e3949ca869d6,0.7741223106841842,0.8418857927786499,0.7721778468933342,0.7404093805069811,0.806794682422452,0.9279070940744594,0.7272370486656201,0.6071226681741096,0.581798483206934,0.6347517730496454,0.7719745647590235,0.15593252931543589
AdaBoost,5107699ade2040c2b2ea77e687e14be1,0.7687120794801826,0.7131083202511774,0.6028792611707184,0.5579436902966315,0.6556868537666174,0.7703109081167857,0.7146781789638933,0.6051059206952744,0.5597989949748744,0.6583924349881797,0.7688273669136296,0.0014835412031560802
Decision Tree,80cacc7784ee443596ebda412cc95e0a,0.7254300387263339,0.7548567503924647,0.657387727116901,0.6134357005758158,0.7081240768094534,0.8323629891377349,0.6942700156985872,0.5740841990158556,0.5340793489318413,0.6205673758865248,0.7306277137451975,0.10173527539253735
K-Neighbors Classifier,bd7562c206004d88b92823e3be3a154c,0.7190286268143016,0.7724686028257457,0.7042469072822344,0.6196140035906643,0.8156573116691285,0.8736087557794684,0.6701334379905809,0.5664173329894248,0.5025171624713959,0.648936170212766,0.7174082327007859,0.15620052307868248
Logistic Regression,1ec80004b17241eb841a229477e1ca85,0.7066341895362168,0.6650313971742543,0.5614080164439876,0.49670379631734485,0.6454948301329394,0.7092759994436174,0.6634615384615384,0.5548922917207371,0.4946783896344285,0.6317966903073287,0.7046255899748036,0.004650409468813788
Support Vector Classifier,548db00eda904895bed730432191166e,0.7043949309865914,0.6684654631083202,0.5643934510764471,0.5006861848124429,0.6466765140324963,0.7063305998104739,0.6634615384615384,0.5544297220057157,0.4946685210941122,0.6306146572104019,0.7028301428162669,0.0035004569942069796
