Model,Best_CV_ROC_AUC,Train_Accuracy,Train_F1,Train_Precision,Train_Recall,Train_ROC_AUC,Test_Accuracy,Test_F1,Test_Precision,Test_Recall,Test_ROC_AUC,Overfitting
CatBoost,0.7803336652271312,0.7498037676609105,0.6397287369313366,0.6130517194692662,0.6688330871491875,0.8115754071043819,0.7325353218210361,0.6142088876309085,0.5893536121673004,0.6412529550827423,0.7828533320554597,0.028722075048922213
Gradient Boosting,0.7650709380995712,0.7978806907378336,0.6884923635263874,0.7052354399008675,0.6725258493353028,0.8643371234190886,0.7317503924646782,0.587383036522789,0.6002467612584824,0.5750591016548463,0.7700219009481267,0.09431522247096191
AdaBoost,0.7677502521779381,0.7098704866562009,0.6032470146249832,0.5526057030481809,0.6641063515509601,0.7696262037146138,0.7097723704866562,0.6054947986129634,0.5517744287797763,0.6708037825059102,0.7677193845093937,0.0019068192052200672
XGBoost,0.7528516897960186,0.859105180533752,0.7857036263244291,0.7938781664656213,0.7776957163958641,0.9322889331709321,0.7176216640502355,0.5690326445043427,0.5768063145112325,0.5614657210401891,0.7586402313506846,0.1736487018202475
Random Forest,0.7525343783553989,0.9991169544740973,0.9986698196866687,0.9992605737947353,0.99807976366322,0.9999981121180538,0.7119309262166404,0.5732558139534883,0.5640732265446224,0.58274231678487,0.7524692824184036,0.24752882969965018
Decision Tree,0.7200318182786544,0.7569171899529042,0.6530840859763355,0.6207906295754027,0.6889217134416543,0.8302179917753447,0.695447409733124,0.5740944017563118,0.5358606557377049,0.6182033096926713,0.739972338203143,0.09024565357220171
K-Neighbors Classifier,0.7190286268143016,0.7724686028257457,0.7042469072822344,0.6196140035906643,0.8156573116691285,0.8736087557794684,0.6701334379905809,0.5664173329894248,0.5025171624713959,0.648936170212766,0.7174082327007859,0.15620052307868248
Logistic Regression,0.7066341895362168,0.6650313971742543,0.5614080164439876,0.49670379631734485,0.6454948301329394,0.7092759994436174,0.6634615384615384,0.5548922917207371,0.4946783896344285,0.6317966903073287,0.7046255899748036,0.004650409468813788
Support Vector Classifier,0.7043949309865914,0.6684654631083202,0.5643934510764471,0.5006861848124429,0.6466765140324963,0.7063305998104739,0.6634615384615384,0.5544297220057157,0.4946685210941122,0.6306146572104019,0.7028301428162669,0.0035004569942069796
