Model,Best_CV_ROC_AUC,Train_Accuracy,Train_F1,Train_Precision,Train_Recall,Train_ROC_AUC,Test_Accuracy,Test_F1,Test_Precision,Test_Recall,Test_ROC_AUC,Overfitting
XGBoost,0.7754694896663189,0.7488716640502355,0.6371819406052874,0.6124812644774492,0.6639586410635155,0.813344347063009,0.7380298273155416,0.6246837222378409,0.5957104557640751,0.6566193853427896,0.7859110266603329,0.027433320402676098
Gradient Boosting,0.773074932546613,0.7347429356357927,0.6198411024397104,0.5914396887159533,0.6511078286558346,0.7972451191199259,0.7350863422291993,0.6207865168539326,0.591541755888651,0.6530732860520094,0.7849828320457368,0.012262287074189082
Random Forest,0.7701808620009296,0.8141679748822606,0.7324858757062147,0.7017591339648174,0.76602658788774,0.9058048897878389,0.7333202511773941,0.6200726866088901,0.5883289124668435,0.6554373522458629,0.7833377433863095,0.12246714640152945
CatBoost,0.7768299523986815,0.7168367346938775,0.6099472901743479,0.5621574489287494,0.6666174298375185,0.7794798299343862,0.7191915227629513,0.6164567140176896,0.5640019617459539,0.6796690307328606,0.7822347960819284,-0.002754966147542115
AdaBoost,0.7657482279407808,0.7111459968602826,0.5985819470957185,0.5558369207394277,0.6484490398818316,0.7673302571707507,0.7217425431711146,0.6144643828167482,0.5689828801611279,0.6678486997635934,0.7753350598517111,-0.008004802680960488
K-Neighbors Classifier,0.7277975792810382,0.7358712715855573,0.6597143218303628,0.5765576668139638,0.7709010339734121,0.8317106337012099,0.6819073783359497,0.5942428035043805,0.5154146765089014,0.7015366430260047,0.7459995263533654,0.08571110734784448
Decision Tree,0.7163668050543465,0.7501962323390895,0.6486337289539056,0.6086506086506086,0.6942392909896603,0.82432969883509,0.6840659340659341,0.5603495357728018,0.5208121827411167,0.6063829787234043,0.7223005267061696,0.10202917212892038
Logistic Regression,0.7052903267851818,0.6581142072213501,0.5536983669548511,0.4887507066139062,0.6385524372230429,0.7072484142334147,0.6634615384615384,0.5641677255400254,0.4948729380294249,0.6560283687943262,0.7111658374378078,-0.0039174232043931445
Support Vector Classifier,0.7017254322194426,0.6607633437990581,0.5530924836812512,0.49166953923934276,0.63205317577548,0.7037893371125692,0.6638540031397174,0.5602053915275995,0.4952337721289151,0.6447990543735225,0.7073504471168671,-0.0035611100042979293
