Model,Run_ID,Best_CV_ROC_AUC,Train_Accuracy,Train_F1,Train_Precision,Train_Recall,Train_ROC_AUC,Test_Accuracy,Test_F1,Test_Precision,Test_Recall,Test_ROC_AUC,Overfitting
CatBoost,6ee89ed6fa4e4faca8f8999ad12d3817,0.7771727918077701,0.7456828885400314,0.6377358490566037,0.6051724137931035,0.6740029542097489,0.80924085120474,0.7372448979591837,0.6302126484396575,0.5914981855883877,0.6743498817966903,0.7901242766818622,0.01911657452287774
Gradient Boosting,1e62fad362fc47d1b9aa9d2dfdb288e1,0.7597478750932147,0.7940541601255887,0.683074135588102,0.6985793699814701,0.6682422451994091,0.8637179957898062,0.7403846153846154,0.6032983508245877,0.6122945830797322,0.5945626477541371,0.7770294577648879,0.08668853802491838
AdaBoost,f18636da85cf4da3a7676640d36a7924,0.7657441198491478,0.7072704081632653,0.6005221932114883,0.5491612587241337,0.6624815361890695,0.7670807963563444,0.7127158555729984,0.6096,0.5553935860058309,0.675531914893617,0.7732304749245081,-0.00614967856816373
XGBoost,0a02aa9adcaf46d89ae379a6adfaf6f6,0.7503042138713497,0.8608222135007849,0.7889607974410474,0.7946950397122733,0.7833087149187592,0.9319696152995687,0.7295918367346939,0.5982507288629738,0.5903337169159953,0.6063829787234043,0.7646882543968575,0.16728136090271117
Random Forest,9b6b4c703b4c4e7cb70a7a400cf3752f,0.7464695361805714,0.9990678963893249,0.9985964393883431,0.9988177922269839,0.9983751846381093,0.9999978300207515,0.7178178963893249,0.5851125216387767,0.5715896279594137,0.599290780141844,0.7598577705827936,0.2401400594379579
Decision Tree,8dba0b27d57f4d96b51201ab6a91edaa,0.7163668050543465,0.7445054945054945,0.6451349141455437,0.5987857323551733,0.699261447562777,0.8248923636043268,0.7078100470957613,0.5974587726412544,0.5505729945191828,0.6530732860520094,0.7573268515972031,0.06756551200712368
K-Neighbors Classifier,c4393494bbec45fc959393d26c8c0348,0.7102350175533519,0.7661891679748822,0.6976272046694582,0.611432384341637,0.8121122599704579,0.8700335522191401,0.6687598116169545,0.5769423558897243,0.500870322019147,0.6802600472813238,0.7269888123553712,0.14304473986376898
Logistic Regression,3a421c82ae76433cb09ec4ae7c8c88b9,0.7052796166195555,0.6585557299843015,0.5543032786885246,0.48926068279448337,0.6392909896602659,0.7072809964718307,0.6632653061224489,0.5638027452974073,0.49464763603925066,0.6554373522458629,0.711163233075814,-0.0038822366039832357
Support Vector Classifier,1765c8c56a49444283beaaa76ff242df,0.7013499824928618,0.6609105180533752,0.5533152384645211,0.4918428308823529,0.6323485967503693,0.7037298905310568,0.6642464678178964,0.5604931929103519,0.49568378009995456,0.6447990543735225,0.7073676359060262,-0.0036377453749694144
