Model,Run_ID,Best_CV_ROC_AUC,Train_Accuracy,Train_F1,Train_Precision,Train_Recall,Train_ROC_AUC,Test_Accuracy,Test_F1,Test_Precision,Test_Recall,Test_ROC_AUC,Overfitting
CatBoost,dc8ab54b7b834456b610a52617420349,0.7803336652271312,0.7498037676609105,0.6397287369313366,0.6130517194692662,0.6688330871491875,0.8115754071043819,0.7325353218210361,0.6142088876309085,0.5893536121673004,0.6412529550827423,0.7828533320554597,0.028722075048922213
AdaBoost,30a22d7c83a5472aaa9f0907eaf9f518,0.7677502521779381,0.7098704866562009,0.6032470146249832,0.5526057030481809,0.6641063515509601,0.7696262037146138,0.7097723704866562,0.6054947986129634,0.5517744287797763,0.6708037825059102,0.7677193845093937,0.0019068192052200672
Gradient Boosting,3bd0dc8279764b5d9e01cb64bd3bdbaa,0.7650709380995712,0.7972919937205651,0.688574012662044,0.7029855340104647,0.674741506646972,0.8662374935958487,0.723116169544741,0.5779240203410111,0.5850999394306481,0.5709219858156028,0.7667879778483386,0.09944951574751004
XGBoost,9006158949de496bb60560d79cf8fe79,0.7528516897960186,0.859105180533752,0.7857036263244291,0.7938781664656213,0.7776957163958641,0.9322889331709321,0.7176216640502355,0.5690326445043427,0.5768063145112325,0.5614657210401891,0.7586402313506846,0.1736487018202475
Random Forest,4b2c19cdcd634a8991e3a4e9d803b92a,0.7525343783553989,0.9994113029827315,0.9991130820399113,0.9998520710059171,0.9983751846381093,0.9999986437629698,0.7074175824175825,0.5661914460285132,0.5575931232091691,0.5750591016548463,0.7517431862945276,0.24825545746844213
Decision Tree,1f1e25b9b3f140aa850c5fa8786033c6,0.7200318182786544,0.7320937990580848,0.6397994855220632,0.5780002383506138,0.7163958641063516,0.819680626794166,0.6803375196232339,0.5696169088507266,0.5150501672240803,0.6371158392434988,0.7341254587149593,0.08555516807920671
K-Neighbors Classifier,03e831d4f8b84a32a962fa6e505618fc,0.7190286268143016,0.7724686028257457,0.7042469072822344,0.6196140035906643,0.8156573116691285,0.8736087557794684,0.6701334379905809,0.5664173329894248,0.5025171624713959,0.648936170212766,0.7174082327007859,0.15620052307868248
Logistic Regression,6d76278794c9400fa1c9b2fd378fbc13,0.7066341895362168,0.6650313971742543,0.5614080164439876,0.49670379631734485,0.6454948301329394,0.7092759994436174,0.6634615384615384,0.5548922917207371,0.4946783896344285,0.6317966903073287,0.7046255899748036,0.004650409468813788
Support Vector Classifier,f0ef06cbb87e410f83456f2fd9765503,0.7043949309865914,0.6684654631083202,0.5643934510764471,0.5006861848124429,0.6466765140324963,0.7063305998104739,0.6634615384615384,0.5544297220057157,0.4946685210941122,0.6306146572104019,0.7028301428162669,0.0035004569942069796
