Model,Run_ID,Best_CV_ROC_AUC,Train_Accuracy,Train_F1,Train_Precision,Train_Recall,Train_ROC_AUC,Test_Accuracy,Test_F1,Test_Precision,Test_Recall,Test_ROC_AUC,Overfitting
CatBoost,afea28d6319749629842884c9ac3feee,0.7771727918077701,0.7456828885400314,0.6377358490566037,0.6051724137931035,0.6740029542097489,0.80924085120474,0.7372448979591837,0.6302126484396575,0.5914981855883877,0.6743498817966903,0.7901242766818622,0.01911657452287774
Gradient Boosting,3440038cdef0455385ed4a859f320db2,0.7597478750932147,0.7944466248037677,0.6823351023502654,0.7009345794392523,0.6646971935007385,0.8646145444161117,0.7388147566718996,0.6018546215973676,0.6093276801938219,0.5945626477541371,0.774848130970934,0.08976641344517777
AdaBoost,e9959d16549f42fa842bc5ed72cc4083,0.7657441198491478,0.7072704081632653,0.6005221932114883,0.5491612587241337,0.6624815361890695,0.7670807963563444,0.7127158555729984,0.6096,0.5553935860058309,0.675531914893617,0.7732304749245081,-0.00614967856816373
XGBoost,c962493b41a8490d9677fb3c637385d0,0.7503042138713497,0.8608222135007849,0.7889607974410474,0.7946950397122733,0.7833087149187592,0.9319696152995687,0.7295918367346939,0.5982507288629738,0.5903337169159953,0.6063829787234043,0.7646882543968575,0.16728136090271117
Random Forest,5654ede1391e4e909288b4bc883e55b6,0.7464695361805714,0.9992150706436421,0.9988181415275521,0.9989657210401891,0.9986706056129985,0.9999968752298822,0.7172291993720565,0.5855622663215415,0.5703081232492997,0.6016548463356974,0.7587597715662009,0.24123710366368134
Decision Tree,d03ddd77382e44468b60ec8b58cc44bb,0.7163668050543465,0.7526981946624803,0.6560687726001229,0.6096107518701661,0.710192023633678,0.8318473586687091,0.6936813186813187,0.5795852410449771,0.5324096981692231,0.6359338061465721,0.7394765544915868,0.09237080417712229
K-Neighbors Classifier,7a3d2f3b11d34789ba96010b332bc87e,0.7102350175533519,0.7661891679748822,0.6976272046694582,0.611432384341637,0.8121122599704579,0.8700335522191401,0.6687598116169545,0.5769423558897243,0.500870322019147,0.6802600472813238,0.7269888123553712,0.14304473986376898
Logistic Regression,b08c985f55934fe5a25935bc6fae1c97,0.7052796166195555,0.6585557299843015,0.5543032786885246,0.48926068279448337,0.6392909896602659,0.7072809964718307,0.6632653061224489,0.5638027452974073,0.49464763603925066,0.6554373522458629,0.711163233075814,-0.0038822366039832357
Support Vector Classifier,52481615891d4936a736449b1cd25a2a,0.7013499824928618,0.6609105180533752,0.5533152384645211,0.4918428308823529,0.6323485967503693,0.7036913516996037,0.6642464678178964,0.5604931929103519,0.49568378009995456,0.6447990543735225,0.70730990588183,-0.00361855418222623
