Model,Run_ID,Artifact_Path,Best_CV_ROC_AUC,Train_Accuracy,Train_F1,Train_Precision,Train_Recall,Train_ROC_AUC,Test_Accuracy,Test_F1,Test_Precision,Test_Recall,Test_ROC_AUC,Overfitting
CatBoost,97d2609b9b11435a94380e7e4a35070d,CatBoost_pipeline,0.7803336652271312,0.7498037676609105,0.6397287369313366,0.6130517194692662,0.6688330871491875,0.8115754071043819,0.7325353218210361,0.6142088876309085,0.5893536121673004,0.6412529550827423,0.7828533320554597,0.028722075048922213
XGBoost,ef9d57fb4de74b47808f873976abe370,XGBoost_pipeline,0.7774410132040614,0.7338108320251178,0.6236648633652379,0.5878661087866108,0.6641063515509601,0.790581704167163,0.7268445839874411,0.6135480288728484,0.5785340314136126,0.6530732860520094,0.7782661824636848,0.01231552170347816
Gradient Boosting,33b1f7a2fad0459bbc786bf235fb0646,Gradient_Boosting_pipeline,0.7781084910448021,0.7374901883830455,0.6271859541559256,0.5935645522880126,0.6648449039881832,0.8000062441152875,0.7219387755102041,0.6071527585250901,0.5718015665796344,0.6471631205673759,0.775757834615374,0.02424840949991358
Random Forest,08a68e78275e4fd8996c0cf098557eb4,Random_Forest_pipeline,0.7741223106841842,0.8424744897959183,0.7731223062248287,0.7410266829202221,0.8081240768094534,0.928469715444111,0.7270408163265306,0.6071731149392827,0.5813953488372093,0.6353427895981087,0.7729303656107541,0.15553934983335693
AdaBoost,ceee30aa7d5a439796962c5dd900e20b,AdaBoost_pipeline,0.7687120794801826,0.7131083202511774,0.6028792611707184,0.5579436902966315,0.6556868537666174,0.7703109081167857,0.7146781789638933,0.6051059206952744,0.5597989949748744,0.6583924349881797,0.7688273669136296,0.0014835412031560802
Decision Tree,8f7f7a0da7d042d4a7322da3921396f3,Decision_Tree_pipeline,0.7254300387263339,0.7549058084772371,0.6561123348017621,0.614333591131735,0.7039881831610044,0.8306769152616593,0.695447409733124,0.5768811341330425,0.5354251012145749,0.6252955082742316,0.7384787365996894,0.09219817866196989
K-Neighbors Classifier,22821c920f804364a53519334efb1cb2,K-Neighbors_Classifier_pipeline,0.7190286268143016,0.7724686028257457,0.7042469072822344,0.6196140035906643,0.8156573116691285,0.8736087557794684,0.6701334379905809,0.5664173329894248,0.5025171624713959,0.648936170212766,0.7174082327007859,0.15620052307868248
Logistic Regression,8f25f7d9d22e4385a440a87f2fb7f073,Logistic_Regression_pipeline,0.7066341895362168,0.6650313971742543,0.5614080164439876,0.49670379631734485,0.6454948301329394,0.7092759994436174,0.6634615384615384,0.5548922917207371,0.4946783896344285,0.6317966903073287,0.7046255899748036,0.004650409468813788
Support Vector Classifier,0365d5bab12d46c09ee431e634435e1a,Support_Vector_Classifier_pipeline,0.7043949309865914,0.6684654631083202,0.5643934510764471,0.5006861848124429,0.6466765140324963,0.7063305998104739,0.6634615384615384,0.5544297220057157,0.4946685210941122,0.6306146572104019,0.7028301428162669,0.0035004569942069796
