Model,Run_ID,Artifact_Path,Best_CV_ROC_AUC,Train_Accuracy,Train_F1,Train_Precision,Train_Recall,Train_ROC_AUC,Test_Accuracy,Test_F1,Test_Precision,Test_Recall,Test_ROC_AUC,Overfitting
CatBoost,3ccdc99729cf433eab2404cdef052983,CatBoost_pipeline,0.7803336652271312,0.7498037676609105,0.6397287369313366,0.6130517194692662,0.6688330871491875,0.8115754071043819,0.7325353218210361,0.6142088876309085,0.5893536121673004,0.6412529550827423,0.7828533320554597,0.028722075048922213
XGBoost,913fbc70250945c79946a8d32caddfc4,XGBoost_pipeline,0.7774410132040614,0.7338108320251178,0.6236648633652379,0.5878661087866108,0.6641063515509601,0.790581704167163,0.7268445839874411,0.6135480288728484,0.5785340314136126,0.6530732860520094,0.7782661824636848,0.01231552170347816
Gradient Boosting,658947886dc5470bba25ecd443f7d30b,Gradient_Boosting_pipeline,0.7781084910448021,0.7428375196232339,0.6290687800735918,0.6037761477859277,0.656573116691285,0.8003293811501281,0.7276295133437991,0.6067988668555241,0.5826985854189336,0.6329787234042553,0.7753703923627606,0.024958988787367464
Random Forest,28d53d73d62b47b68f85640946e6e553,Random_Forest_pipeline,0.7741223106841842,0.8418857927786499,0.7721778468933342,0.7404093805069811,0.806794682422452,0.9279785731909047,0.7246860282574569,0.6033361605880689,0.578319783197832,0.6306146572104019,0.7731541671180894,0.15482440607281533
AdaBoost,536cc93ef73746ee9c35cc8eba323bea,AdaBoost_pipeline,0.7687120794801826,0.7131083202511774,0.6028792611707184,0.5579436902966315,0.6556868537666174,0.7703109081167857,0.7146781789638933,0.6051059206952744,0.5597989949748744,0.6583924349881797,0.7688273669136296,0.0014835412031560802
Decision Tree,4e782681fddf4860bd2649aa4cbc164a,Decision_Tree_pipeline,0.7254300387263339,0.7496565934065934,0.6516961299569995,0.6057606902677325,0.7051698670605613,0.825599776839334,0.6987833594976453,0.5791061146147518,0.540153452685422,0.624113475177305,0.7430350679078708,0.08256470893146328
K-Neighbors Classifier,432c043b54d5434195f44cfb95a5952c,K-Neighbors_Classifier_pipeline,0.7190286268143016,0.7724686028257457,0.7042469072822344,0.6196140035906643,0.8156573116691285,0.8736087557794684,0.6701334379905809,0.5664173329894248,0.5025171624713959,0.648936170212766,0.7174082327007859,0.15620052307868248
Logistic Regression,84ea200ebcd847e58e2e83d2d8bf450d,Logistic_Regression_pipeline,0.7066341895362168,0.6650313971742543,0.5614080164439876,0.49670379631734485,0.6454948301329394,0.7092759994436174,0.6634615384615384,0.5548922917207371,0.4946783896344285,0.6317966903073287,0.7046255899748036,0.004650409468813788
Support Vector Classifier,a037c75c06384fb0b3059c38a9014374,Support_Vector_Classifier_pipeline,0.7043949309865914,0.6684654631083202,0.5643934510764471,0.5006861848124429,0.6466765140324963,0.7063305998104739,0.6634615384615384,0.5544297220057157,0.4946685210941122,0.6306146572104019,0.7028301428162669,0.0035004569942069796
