Model,Run_ID,Best_CV_ROC_AUC,Train_Accuracy,Train_F1,Train_Precision,Train_Recall,Train_ROC_AUC,Test_Accuracy,Test_F1,Test_Precision,Test_Recall,Test_ROC_AUC,Overfitting
CatBoost,736cb178ac8940d29187904a216ade0a,0.7803336652271312,0.7498037676609105,0.6397287369313366,0.6130517194692662,0.6688330871491875,0.8115754071043819,0.7325353218210361,0.6142088876309085,0.5893536121673004,0.6412529550827423,0.7828533320554597,0.028722075048922213
XGBoost,5a104f935fec4ca2bb739cda1b4bab98,0.7774410132040614,0.7338108320251178,0.6236648633652379,0.5878661087866108,0.6641063515509601,0.790581704167163,0.7268445839874411,0.6135480288728484,0.5785340314136126,0.6530732860520094,0.7782661824636848,0.01231552170347816
Gradient Boosting,ce69ce3a35f04e25991c07859f6626f8,0.7781084910448021,0.7426412872841445,0.6287331917905167,0.6035326086956522,0.6561299852289513,0.8009723785511439,0.7258634222919937,0.6052557219553546,0.5798592311857066,0.6329787234042553,0.7756604314768053,0.025311947074338592
Random Forest,bcd3ed447ae44d8cafa395cefd448903,0.7741223106841842,0.8408065149136578,0.7703955281964198,0.7393725383675133,0.8041358936484491,0.9280385188676441,0.7262558869701727,0.6064880112834978,0.5801403130059363,0.6353427895981087,0.7719372355704457,0.1561012832971984
AdaBoost,53cb574857744f92a80bca57c34c4cc1,0.7687120794801826,0.7131083202511774,0.6028792611707184,0.5579436902966315,0.6556868537666174,0.7703109081167857,0.7146781789638933,0.6051059206952744,0.5597989949748744,0.6583924349881797,0.7688273669136296,0.0014835412031560802
Decision Tree,ec6bdb0b82364b5faccd0f38f07488a5,0.7254300387263339,0.7451432496075353,0.6433230346721592,0.6010262989095574,0.6920236336779911,0.8183538038325738,0.6899529042386185,0.5766345123258306,0.5274509803921569,0.6359338061465721,0.7263629841682571,0.09199081966431677
K-Neighbors Classifier,68571cfa6ad3455b9f71369ec0f11333,0.7190286268143016,0.7724686028257457,0.7042469072822344,0.6196140035906643,0.8156573116691285,0.8736087557794684,0.6701334379905809,0.5664173329894248,0.5025171624713959,0.648936170212766,0.7174082327007859,0.15620052307868248
Logistic Regression,67e3c0a591be48ea986c282112e972bb,0.7066341895362168,0.6650313971742543,0.5614080164439876,0.49670379631734485,0.6454948301329394,0.7092759994436174,0.6634615384615384,0.5548922917207371,0.4946783896344285,0.6317966903073287,0.7046255899748036,0.004650409468813788
Support Vector Classifier,df10b796a11d4cc3a202508a4e001f49,0.7043949309865914,0.6684654631083202,0.5643934510764471,0.5006861848124429,0.6466765140324963,0.7063305998104739,0.6634615384615384,0.5544297220057157,0.4946685210941122,0.6306146572104019,0.7028301428162669,0.0035004569942069796
