Model,Run_ID,Artifact_Path,Best_CV_ROC_AUC,Train_Accuracy,Train_F1,Train_Precision,Train_Recall,Train_ROC_AUC,Test_Accuracy,Test_F1,Test_Precision,Test_Recall,Test_ROC_AUC,Overfitting
CatBoost,d62a89d016334e7f8fc0d83cb12fe8ba,CatBoost_pipeline,0.7803336652271312,0.7498037676609105,0.6397287369313366,0.6130517194692662,0.6688330871491875,0.8115754071043819,0.7325353218210361,0.6142088876309085,0.5893536121673004,0.6412529550827423,0.7828533320554597,0.028722075048922213
XGBoost,d84f2fd1ffcb4ac8b4f1387a3ce389fc,XGBoost_pipeline,0.7774410132040614,0.7338108320251178,0.6236648633652379,0.5878661087866108,0.6641063515509601,0.790581704167163,0.7268445839874411,0.6135480288728484,0.5785340314136126,0.6530732860520094,0.7782661824636848,0.01231552170347816
Gradient Boosting,2cbbd9342f5f48798b1b615283038e69,Gradient_Boosting_pipeline,0.7781084910448021,0.7364599686028257,0.6262696535411159,0.591925302472383,0.6648449039881832,0.7996003711966502,0.7213500784929356,0.6066481994459834,0.5709071949947863,0.6471631205673759,0.7749628097107283,0.02463756148592189
Random Forest,2a934b0021f449298e48507515462f36,Random_Forest_pipeline,0.7741223106841842,0.8407083987441131,0.7710962284102926,0.7375590020229265,0.8078286558345642,0.927483004180031,0.7254709576138147,0.6064697609001406,0.5786366076221149,0.6371158392434988,0.7729621388270786,0.1545208653529524
AdaBoost,ac69f17d7e3345b3b230635092db4b1a,AdaBoost_pipeline,0.7687120794801826,0.7131083202511774,0.6028792611707184,0.5579436902966315,0.6556868537666174,0.7703109081167857,0.7146781789638933,0.6051059206952744,0.5597989949748744,0.6583924349881797,0.7688273669136296,0.0014835412031560802
Decision Tree,03c742b9d6114e92a28bf91213608961,Decision_Tree_pipeline,0.7254300387263339,0.7385204081632653,0.6492036330130314,0.5854700854700855,0.7285081240768094,0.8272090551498056,0.6842621664050236,0.5762444034764288,0.5197149643705463,0.6465721040189125,0.7394628381850861,0.08774621696471951
K-Neighbors Classifier,f659f2558c2d442ca24781ddaf0f7d39,K-Neighbors_Classifier_pipeline,0.7190286268143016,0.7724686028257457,0.7042469072822344,0.6196140035906643,0.8156573116691285,0.8736087557794684,0.6701334379905809,0.5664173329894248,0.5025171624713959,0.648936170212766,0.7174082327007859,0.15620052307868248
Logistic Regression,2082931a617d429b9d3e89ad1a47984f,Logistic_Regression_pipeline,0.7066341895362168,0.6650313971742543,0.5614080164439876,0.49670379631734485,0.6454948301329394,0.7092759994436174,0.6634615384615384,0.5548922917207371,0.4946783896344285,0.6317966903073287,0.7046255899748036,0.004650409468813788
Support Vector Classifier,66ae43cf9064422195b230890ac1e3e4,Support_Vector_Classifier_pipeline,0.7043949309865914,0.6684654631083202,0.5643934510764471,0.5006861848124429,0.6466765140324963,0.7063305998104739,0.6634615384615384,0.5544297220057157,0.4946685210941122,0.6306146572104019,0.7028301428162669,0.0035004569942069796
