Model,Run_ID,Best_CV_ROC_AUC,Train_Accuracy,Train_F1,Train_Precision,Train_Recall,Train_ROC_AUC,Test_Accuracy,Test_F1,Test_Precision,Test_Recall,Test_ROC_AUC,Overfitting
CatBoost,c161e034a6eb4e41941d14a19b2e0f8c,0.7763558467732371,0.7741856357927787,0.6126399057477068,0.7119108155681596,0.5376661742983752,0.8341860483788194,0.7564756671899528,0.5870216306156406,0.6717440974866717,0.5212765957446809,0.7890193326999526,0.045166715678866765
AdaBoost,2bb013dce3734c65a962710d4255ef6f,0.7671298298792281,0.7341542386185244,0.5111411817771764,0.6565469293163384,0.41846381093057605,0.769269171603912,0.7480376766091051,0.5344452501812907,0.6913696060037523,0.4355791962174941,0.7762277483311248,-0.006958576727212895
Gradient Boosting,805f2c4452d14a90918e9d0f507c298c,0.759849886360706,0.8213304552590267,0.6949748743718593,0.8025145067698259,0.6128508124076809,0.895055474434498,0.7456828885400314,0.5677118078719147,0.6516079632465543,0.5029550827423168,0.7748723515374765,0.12018312289702149
Random Forest,d5e8f355a92f42d38007c1488eabafa7,0.7481625431685522,0.9992150706436421,0.9988169180715765,1.0,0.9976366322008863,0.999999685353009,0.7354788069073783,0.5634715025906736,0.6232091690544412,0.5141843971631206,0.767346960744278,0.232652724608731
XGBoost,6a97bedb3ef24d1eb613876e0c7efe7b,0.7435154619545075,0.9019819466248038,0.8622828784119106,0.8083484104419747,0.9239290989660266,0.9692587068789862,0.7125196232339089,0.5978589074938238,0.5581752947206561,0.6436170212765957,0.7595198980201293,0.20973880885885687
K-Neighbors Classifier,3bf8ba23b9454555ae378fa55c620bef,0.7213596395479577,0.7757064364207221,0.6219613031255168,0.7064237415477085,0.5555391432791729,0.8417079939214541,0.7229199372056515,0.5400651465798045,0.6015965166908563,0.48995271867612294,0.7395930562847769,0.10211493763667723
Decision Tree,d0207badee8f4ac693d415e26bbbf8b0,0.7181628462015031,0.7656004709576139,0.6021648626144879,0.6900763358778625,0.5341211225997046,0.8239084353386329,0.723116169544741,0.5301365301365302,0.6071700991609459,0.47044917257683216,0.7323422520577932,0.09156618328083965
Logistic Regression,1dc60fc9a3034bf1b8d6959bc4cc7500,0.7059951132283953,0.7018249607535322,0.37903555373927256,0.6146454605699139,0.2740029542097489,0.7075575386272581,0.706828885400314,0.3907014681892333,0.6302631578947369,0.283096926713948,0.710877274128893,-0.0033197355016348906
Support Vector Classifier,788d6e9b691b43f1a94e9fa4ebe9ea94,0.6995709391651276,0.6926510989010989,0.26285445346511355,0.6460381723539619,0.16499261447562777,0.6741572397343164,0.6989795918367347,0.27641509433962264,0.6845794392523364,0.1731678486997636,0.6799160978740072,-0.005758858139690792
