Model,Run_ID,Best_CV_ROC_AUC,Train_Accuracy,Train_F1,Train_Precision,Train_Recall,Train_ROC_AUC,Test_Accuracy,Test_F1,Test_Precision,Test_Recall,Test_ROC_AUC,Overfitting
CatBoost,c247fd68b4564733aeb75f2e3fbc5fad,0.7803336652271312,0.7498037676609105,0.6397287369313366,0.6130517194692662,0.6688330871491875,0.8115754071043819,0.7325353218210361,0.6142088876309085,0.5893536121673004,0.6412529550827423,0.7828533320554597,0.028722075048922213
AdaBoost,ea4f95c0d1a64d9298631b5d694c565a,0.7677502521779381,0.7098704866562009,0.6032470146249832,0.5526057030481809,0.6641063515509601,0.7696262037146138,0.7097723704866562,0.6054947986129634,0.5517744287797763,0.6708037825059102,0.7677193845093937,0.0019068192052200672
Gradient Boosting,d8635e56eb6e4c21841cc04f5f3485bc,0.7650709380995712,0.8006770015698587,0.6944883073915332,0.7073058661357022,0.6821270310192024,0.8698050371294299,0.7276295133437991,0.5851763299462044,0.5918984280532044,0.5786052009456265,0.7672156140877233,0.1025894230417066
XGBoost,f323f836de4641219f2490f522344387,0.7528516897960186,0.859105180533752,0.7857036263244291,0.7938781664656213,0.7776957163958641,0.9322889331709321,0.7176216640502355,0.5690326445043427,0.5768063145112325,0.5614657210401891,0.7586402313506846,0.1736487018202475
Random Forest,e4c6d3156d8546c6a909fc2367f8cf99,0.7525343783553989,0.9992641287284144,0.9988912706038879,0.9997040982393846,0.99807976366322,0.9999980470186763,0.7095761381475667,0.569015725101922,0.560849598163031,0.5774231678486997,0.75112873048812,0.24886931653055633
Decision Tree,f52e7ad145cb4d0ba74dc6c480bb04a0,0.7200318182786544,0.7558869701726845,0.6538675570395103,0.6179332106231922,0.6942392909896603,0.830466389299919,0.6942700156985872,0.5698509110988405,0.5347150259067357,0.6099290780141844,0.7258667663963686,0.1045996229035504
K-Neighbors Classifier,551f7301ebb140868a6089abde276ab6,0.7190286268143016,0.7724686028257457,0.7042469072822344,0.6196140035906643,0.8156573116691285,0.8736087557794684,0.6701334379905809,0.5664173329894248,0.5025171624713959,0.648936170212766,0.7174082327007859,0.15620052307868248
Logistic Regression,08d107eef6224e71b3faefef1cf93165,0.7066341895362168,0.6650313971742543,0.5614080164439876,0.49670379631734485,0.6454948301329394,0.7092759994436174,0.6634615384615384,0.5548922917207371,0.4946783896344285,0.6317966903073287,0.7046255899748036,0.004650409468813788
Support Vector Classifier,f6fa4af6276246ccaec4af72d10bcc00,0.7043949309865914,0.6684654631083202,0.5643934510764471,0.5006861848124429,0.6466765140324963,0.7063305998104739,0.6634615384615384,0.5544297220057157,0.4946685210941122,0.6306146572104019,0.7028301428162669,0.0035004569942069796
