Model,Run_ID,Best_CV_ROC_AUC,Train_Accuracy,Train_F1,Train_Precision,Train_Recall,Train_ROC_AUC,Test_Accuracy,Test_F1,Test_Precision,Test_Recall,Test_ROC_AUC,Overfitting
CatBoost,e9c154a08a29494e811cd11594e90e99,0.7763558467732371,0.7741856357927787,0.6126399057477068,0.7119108155681596,0.5376661742983752,0.8341860483788194,0.7564756671899528,0.5870216306156406,0.6717440974866717,0.5212765957446809,0.7890193326999526,0.045166715678866765
Gradient Boosting,17f658e3f3844b639d8db9e0dc7c91f1,0.759849886360706,0.8259419152276295,0.7040867389491243,0.8086206896551724,0.6234859675036928,0.9003171641669592,0.7413657770800628,0.5621262458471761,0.6418816388467374,0.5,0.7766641525892218,0.12365301157773734
AdaBoost,55111244e85f4cad9f56a3b558a5b7f3,0.7671298298792281,0.7341542386185244,0.5111411817771764,0.6565469293163384,0.41846381093057605,0.769269171603912,0.7480376766091051,0.5344452501812907,0.6913696060037523,0.4355791962174941,0.7762277483311248,-0.006958576727212895
Random Forest,90422bdad7014a6497233b3363b24fff,0.7481624780715762,0.9992641287284144,0.9988909426987062,1.0,0.9977843426883308,0.999999370706018,0.7358712715855573,0.5649644473173885,0.62339514978602,0.516548463356974,0.7643058472440989,0.23569352346191907
XGBoost,f087574121fa48f89a7940fb01af3ad3,0.7435154619545075,0.9019819466248038,0.8622828784119106,0.8083484104419747,0.9239290989660266,0.9692587068789862,0.7125196232339089,0.5978589074938238,0.5581752947206561,0.6436170212765957,0.7595198980201293,0.20973880885885687
K-Neighbors Classifier,705f937c9bb649759e22bbf4db1f6239,0.7213596395479577,0.7757064364207221,0.6219613031255168,0.7064237415477085,0.5555391432791729,0.8417079939214541,0.7229199372056515,0.5400651465798045,0.6015965166908563,0.48995271867612294,0.7395930562847769,0.10211493763667723
Decision Tree,77572a96e6e94d4aa2684d1c9cb8d489,0.7181628462015031,0.7699666405023547,0.6292987587951617,0.676985881952713,0.5878877400295421,0.8367610705288825,0.7207613814756672,0.555729004058695,0.5890138980807412,0.5260047281323877,0.7381871348684484,0.09857393566043404
Logistic Regression,f0bbec38dbd542b48fc1bd2b31da1ba1,0.7059951132283953,0.7018249607535322,0.37903555373927256,0.6146454605699139,0.2740029542097489,0.7075575386272581,0.706828885400314,0.3907014681892333,0.6302631578947369,0.283096926713948,0.710877274128893,-0.0033197355016348906
Support Vector Classifier,6476f39f74b24cc7b0a218f312ddfe2d,0.6995709391651276,0.6926510989010989,0.26285445346511355,0.6460381723539619,0.16499261447562777,0.6741572397343164,0.6989795918367347,0.27641509433962264,0.6845794392523364,0.1731678486997636,0.6799160978740072,-0.005758858139690792
