Model,Run_ID,Best_CV_ROC_AUC,Train_Accuracy,Train_F1,Train_Precision,Train_Recall,Train_ROC_AUC,Test_Accuracy,Test_F1,Test_Precision,Test_Recall,Test_ROC_AUC,Overfitting
CatBoost,2e51090ad5d44d45a3360aa9b3528937,0.7771727918077701,0.7456828885400314,0.6377358490566037,0.6051724137931035,0.6740029542097489,0.80924085120474,0.7372448979591837,0.6302126484396575,0.5914981855883877,0.6743498817966903,0.7901242766818622,0.01911657452287774
Gradient Boosting,d3e36a1015ed421db0e30e12ddb55929,0.7597478750932147,0.7956730769230769,0.6870068385060495,0.6992504206822702,0.6751846381093057,0.8675641158343603,0.7384222919937206,0.6012563565659588,0.6087219866747425,0.5939716312056738,0.7745688565531303,0.09299525928122998
AdaBoost,a0192a405e8e4e56bfc808aa54ecdf9a,0.7657441198491478,0.7072704081632653,0.6005221932114883,0.5491612587241337,0.6624815361890695,0.7670807963563444,0.7127158555729984,0.6096,0.5553935860058309,0.675531914893617,0.7732304749245081,-0.00614967856816373
XGBoost,59ab8e55d56245919f2068f2b6e2a5cf,0.7503042138713497,0.8608222135007849,0.7889607974410474,0.7946950397122733,0.7833087149187592,0.9319696152995687,0.7295918367346939,0.5982507288629738,0.5903337169159953,0.6063829787234043,0.7646882543968575,0.16728136090271117
Random Forest,f768602325824b2c96d6414114fc1407,0.7464695361805714,0.9991660125588697,0.9987436257482817,0.9994083715426711,0.99807976366322,0.9999961157371453,0.7156593406593407,0.5837403045101982,0.567915036333147,0.6004728132387707,0.7578025817214069,0.2421935340157384
Decision Tree,b21b4deddc7e4676accf28df91ce171f,0.7163668050543465,0.7450941915227629,0.6519758874748828,0.5964460784313725,0.7189069423929099,0.8258640911616961,0.6960361067503925,0.5892336250331477,0.5343915343915344,0.6566193853427896,0.7481006387979099,0.07776345236378623
K-Neighbors Classifier,c689f7543b27417ab2bfec67f4e5bfd9,0.7102350175533519,0.7661891679748822,0.6976272046694582,0.611432384341637,0.8121122599704579,0.8700335522191401,0.6687598116169545,0.5769423558897243,0.500870322019147,0.6802600472813238,0.7269888123553712,0.14304473986376898
Logistic Regression,33da236be4cd4863b150d1691e872beb,0.7052796166195555,0.6585557299843015,0.5543032786885246,0.48926068279448337,0.6392909896602659,0.7072809964718307,0.6632653061224489,0.5638027452974073,0.49464763603925066,0.6554373522458629,0.711163233075814,-0.0038822366039832357
Support Vector Classifier,4e83a7b3e8e54959aeb462ea8ef111b0,0.7013499824928618,0.6609105180533752,0.5533152384645211,0.4918428308823529,0.6323485967503693,0.7037265379131179,0.6642464678178964,0.5604931929103519,0.49568378009995456,0.6447990543735225,0.7073674622818934,-0.0036409243687755
