Model,Best_CV_ROC_AUC,Train_Accuracy,Train_F1,Train_Precision,Train_Recall,Train_ROC_AUC,Test_Accuracy,Test_F1,Test_Precision,Test_Recall,Test_ROC_AUC,Overfitting
CatBoost,0.7829766149806446,0.7363127943485086,0.619145468716786,0.5949884243497208,0.6453471196454948,0.7941288770205491,0.7297880690737834,0.6080273270708796,0.586490939044481,0.6312056737588653,0.7820626477541371,0.012066229266411987
XGBoost,0.7796047720501358,0.7343504709576139,0.6213551499895112,0.5899614924976763,0.6562776957163958,0.7908007364475573,0.728806907378336,0.6154702281580412,0.5814931650893796,0.6536643026004728,0.7797282712870133,0.011072465160544054
Gradient Boosting,0.7803352827769866,0.7397959183673469,0.6230277185501066,0.6004109589041096,0.6474150664697194,0.7936614960401134,0.7276295133437991,0.6050085372794536,0.5834248079034029,0.6282505910165485,0.7783413617132395,0.015320134326873847
Random Forest,0.7789557055528485,0.746026295133438,0.6363189322093432,0.6066979236436705,0.6689807976366322,0.8143799316847131,0.7264521193092621,0.6099608282036934,0.5791710945802337,0.6442080378250591,0.7758582761762688,0.03852165550844433
AdaBoost,0.7687120794801826,0.7131083202511774,0.6028792611707184,0.5579436902966315,0.6556868537666174,0.7703109081167857,0.7146781789638933,0.6051059206952744,0.5597989949748744,0.6583924349881797,0.7688273669136296,0.0014835412031560802
Support Vector Classifier,0.757712673729638,0.7455847723704867,0.6356098931984261,0.60613776467435,0.6680945347119646,0.7997667163808913,0.7290031397174255,0.6086710116180221,0.5846488840500816,0.6347517730496454,0.7607973375780961,0.03896937880279516
Decision Tree,0.7611558106734853,0.7400412087912088,0.6287915936952715,0.5980013324450366,0.6629246676514032,0.805819434073752,0.7135007849293563,0.5880361173814899,0.562634989200864,0.6158392434988179,0.7594917709105962,0.04632766316315584
K-Neighbors Classifier,0.7362050993151629,0.7413657770800628,0.6668772905345633,0.5827075971731449,0.7794682422451994,0.8349352499892043,0.6740580847723705,0.5781051562103124,0.5069042316258352,0.6725768321513003,0.7360631040383584,0.09887214595084592
Logistic Regression,0.7066341895362168,0.6650313971742543,0.5614080164439876,0.49670379631734485,0.6454948301329394,0.7092759994436174,0.6634615384615384,0.5548922917207371,0.4946783896344285,0.6317966903073287,0.7046255899748036,0.004650409468813788
